Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0059212,0.012235,0.039172,0,0,0,0.025129,5.4435E-06,-1.63E-22,2.7387E-22,1.0459E-05,-7.5246E-23,5.4435E-06,0,0,0,0,0,0,package://Coba URFD.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Coba URFD.SLDASM/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,6.9389E-18,0.045,-3.4694E-18,0,0,0,0.12387,8.4712E-05,2.6019E-21,-1.6941E-21,3.0331E-05,-2.8145E-21,8.4712E-05,0,0,0,0,0,0,package://Coba URFD.SLDASM/meshes/Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Coba URFD.SLDASM/meshes/Link1.STL,,Link 1-1/Link 1-1,Origin_Join1,Axis_Join1,Join1,revolute,-0.0059212,-0.039172,0.012202,1.5708,0,-1.4891,base_link,0,1,0,10,100,-1.54,1.54,,,,,,,,
Link2,-0.027292,0.044487,0.041058,0,0,0,0.12387,8.4712E-05,-1.8211E-20,-1.6941E-21,3.0331E-05,2.7264E-20,8.4712E-05,0,0,0,0,0,0,package://Coba URFD.SLDASM/meshes/Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Coba URFD.SLDASM/meshes/Link2.STL,,Link 1-2/Link 1-1,Origin_Joint2,Axis_Joint2,Joint2,revolute,0.013846,0.12207,0.081929,-0.0058508,0.059124,0.074256,Link1,0,1,0,10,100,-1.54,1.54,,,,,,,,
Link3,-0.026472,0.045,0.019395,0,0,0,0.12387,8.4712E-05,5.5057E-21,0,3.0331E-05,5.4197E-20,8.4712E-05,0,0,0,0,0,0,package://Coba URFD.SLDASM/meshes/Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Coba URFD.SLDASM/meshes/Link3.STL,,Copy of End Effector^Coba URFD-1/Link 1-1,Origin_Joint3,Axis_Joint3,Joint3,revolute,-0.054105,0.083399,0.054003,1.5738,0.078148,-3.1037,Link2,0.037797,0,-0.99929,10,100,-1.54,1.54,,,,,,,,
End,-0.020955,0.0021193,0.016384,0,0,0,0.025437,1.8251E-05,5.7144E-12,-1.6789E-11,7.1467E-06,4.9147E-14,2.4174E-05,0,0,0,0,0,0,package://Coba URFD.SLDASM/meshes/End.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Coba URFD.SLDASM/meshes/End.STL,,Copy of End Effector^Coba URFD-1/End Effector-1,Origin_End1,Axis_End1,End1,revolute,-0.005517,0.11363,0.003011,0,0,0,Link3,0.037797,0,-0.99929,10,100,-1.54,1.54,,,,,,,,
